Model;Accuracy;AUC;Recall;Prec.;F1;Kappa;MCC;TT (Sec)
Dummy Classifier;0.8597;0.5;0.0;0.0;0.0;0.0;0.0;0.024
Ada Boost Classifier;0.8583;0.5949;0.002;0.05;0.0038;-0.0;-0.0005;0.099
Gradient Boosting Classifier;0.8577;0.589;0.0;0.0;0.0;-0.0039;-0.0112;0.313
Random Forest Classifier;0.8546;0.567;0.002;0.0333;0.0038;-0.0071;-0.0198;0.168
Extra Trees Classifier;0.8529;0.5326;0.0102;0.105;0.0186;0.0008;-0.0014;0.131
Light Gradient Boosting Machine;0.8529;0.5611;0.0142;0.2519;0.0263;0.0066;0.0201;0.286
Decision Tree Classifier;0.7386;0.5183;0.212;0.1628;0.1832;0.0313;0.032;0.044
K Neighbors Classifier;0.642;0.502;0.2973;0.1379;0.1882;-0.0036;-0.0037;0.48
Logistic Regression;0.5843;0.617;0.5766;0.185;0.2799;0.0859;0.1136;3.772
Ridge Classifier;0.5823;0.6172;0.5807;0.185;0.2804;0.0861;0.1143;0.026
Linear Discriminant Analysis;0.5823;0.6172;0.5807;0.185;0.2804;0.0861;0.1143;0.025
Naive Bayes;0.5531;0.5819;0.5725;0.1718;0.2642;0.0618;0.0853;0.031
SVM - Linear Kernel;0.5374;0.5934;0.6051;0.1718;0.2671;0.0631;0.0918;0.037
Quadratic Discriminant Analysis;0.528;0.5363;0.5218;0.1532;0.2359;0.0254;0.0355;0.028
